Harga,Kamar Tidur,Kamar Mandi,Garasi,Luas Tanah,Luas Bangunan,Lokasi,Lokasi_encoded
1050000000,3,2,1,66,76,Cimanggis,2546075969.094804
385000000,3,2,1,60,60,Cinere,4852868864.173362
585000000,2,1,1,100,65,Cilodong,1627149868.7655294
1300000000,1,1,2,167,100,Kelapa Dua,2450029940.1197605
390000000,2,1,1,55,36,Tapos,1900826465.3641207
855000000,3,2,2,74,80,Sawangan,2233344847.4117646
1470000000,3,2,1,105,86,Cibubur,3453845688.344932
700000000,3,2,1,60,60,Sawangan,1658701541.0946062
690000000,3,2,1,70,73,Sawangan,2233344847.4117646
279000000,2,1,1,50,36,Sawangan,2214365602.382716
999000000,2,1,0,77,106,Beji,3879711604.646512
1150000000,3,2,1,109,134,Cimanggis,2466095424.086244
550000000,2,1,1,60,39,Tanah Baru,1659349999.996633
1190000000,3,2,1,70,90,Rangkapanjaya,1163555555.5555556
450000000,3,2,1,50,80,Cipayung,696162530.4136254
750000000,2,1,1,84,48,Limo,2101731233.2412868
225000000,2,1,1,45,40,Cilodong,1627149868.7655294
3000000000,4,3,2,150,230,Cinere,4541094465.716549
1000000000,3,2,1,64,76,Cibubur,3358676488.0907736
450000000,3,2,1,45,80,Pancoran Mas,3409127772.846495
425000000,2,1,1,60,32,Cipayung,682827093.5960591
1250000000,2,1,0,87,56,Cibubur,2981969911.4970503
1900000000,4,3,1,172,160,Cinere,4541094465.716549
800000000,3,2,2,70,90,Cinangka,6782590476.190476
475000000,2,1,1,67,45,Pancoran Mas,3395635733.692935
1750000000,4,4,2,105,127,Limo,2165110767.227568
4500000000,4,3,1,540,300,Cinere,4541094465.716549
850000000,3,2,0,120,120,Limo,2013263741.7615285
750000000,4,2,1,72,98,Pancoran Mas,2665252674.71786
750000000,3,2,1,60,50,Citayam,665709595.9595959
1700000000,3,3,2,74,75,Beji,3958941566.261446
650000000,3,2,0,48,96,Harjamukti,2712226512.9596543
690000000,3,1,2,116,60,Cilodong,1625010649.3489175
2200000000,5,3,0,155,200,Pancoran Mas,3395635733.692935
3200000000,3,2,2,178,156,Pangkalan Jati,5453610451.277909
2650000000,3,2,2,200,143,Harjamukti,2656676737.1540785
